GB_GCA_004210275.1
GB_GCA_014116815.1
GB_GCA_000730245.1
GB_GCA_000815465.1
GB_GCA_000219355.1
GB_GCA_009690945.1
GB_GCA_903887235.1
GB_GCA_905479795.1
GB_GCA_000063545.1
GB_GCA_000964595.1
GB_GCA_000012385.1
GB_GCA_000283915.1
GB_GCA_000195735.1
GB_GCA_000008045.1
GB_GCA_000499665.1
GB_GCA_000284055.1
GB_GCA_000964665.1
GB_GCA_000018205.1
GB_GCA_000284155.1
GB_GCA_000255355.1
GB_GCA_019468145.1
GB_GCA_002259525.1
GB_GCA_015657545.1
GB_GCA_015476335.1
GB_GCA_013214485.1
GB_GCA_016869095.1
GB_GCA_913698045.1
GB_GCA_013298405.1
GB_GCA_017302595.1
GB_GCA_905479885.1
GB_GCA_905479865.1
GB_GCA_003015145.1
GB_GCA_008189685.1
RS_GCF_007993655.1
GB_GCA_000021505.1
GB_GCA_002804305.1
GB_GCA_002776675.1
GB_GCA_002776655.1
GB_GCA_002844105.1
GB_GCA_002844085.1
GB_GCA_002844065.1
GB_GCA_002844045.1
GB_GCA_000831425.1
GB_GCA_002846175.1
GB_GCA_002846095.1
GB_GCA_000831405.1
GB_GCA_002846115.1
GB_GCA_000699475.1
GB_GCA_001729625.1
GB_GCA_019669885.1
GB_GCA_000412755.1
GB_GCA_900019315.1
GB_GCA_900014395.1
GB_GCA_900010165.1
GB_GCA_900010175.1
GB_GCA_900012655.1
GB_GCA_000220965.1
GB_GCA_000219195.1
GB_GCA_000287255.1
GB_GCA_000287235.1
GB_GCA_000287295.1
GB_GCA_000287275.1
GB_GCA_016593055.1
GB_GCA_013463375.1
GB_GCA_001274515.1
GB_GCA_000441575.1
GB_GCA_002009355.1
GB_GCA_002786955.1
GB_GCA_000287315.1
GB_GCA_000010365.1
GB_GCA_017348975.1
GB_GCA_017348935.1
GB_GCA_017348955.1
GB_GCA_003391315.1
GB_GCA_000147015.1
GB_GCA_002290365.1
GB_GCA_017086605.1
GB_GCA_001447885.1
GB_GCA_000442605.1
GB_GCA_014211875.1
GB_GCA_003072485.1
GB_GCA_014132315.1
GB_GCA_018101195.1
GB_GCA_000632985.1
GB_GCA_001593535.1
GB_GCA_009856525.1
GB_GCA_000022525.1
GB_GCA_000013165.1
GB_GCA_020002265.1
GB_GCA_009728815.1
GB_GCA_000026005.1
GB_GCA_000012565.1
GB_GCA_004181775.1
GB_GCA_000013145.1
GB_GCA_000632845.1
GB_GCA_000508225.1
GB_GCA_019186745.1
GB_GCA_000964795.1
GB_GCA_000024505.1
GB_GCA_000020305.1
GB_GCA_002214625.1
GB_GCA_012790675.1
GB_GCA_000013125.1
GB_GCA_016860565.1
GB_GCA_019061405.1
GB_GCA_001752665.1
GB_GCA_014534705.1
GB_GCA_001931755.1
GB_GCA_012277295.1
GB_GCA_014107455.1
GB_GCA_001758585.1
GB_GCA_000333795.1
GB_GCA_001027565.1
GB_GCA_018224395.1
GB_GCA_000073005.1
GB_GCA_001439985.1
GB_GCA_012277315.1
GB_GCA_000829315.1
GB_GCA_902636395.1
GB_GCA_013365455.1
GB_GCA_902646575.1
GB_GCA_000530755.1
GB_GCA_013365495.1
GB_GCA_013365475.1
GB_GCA_000008385.1
GB_GCA_013366805.1
GB_GCA_013365435.1
GB_GCA_014771645.1
GB_GCA_018659145.1
GB_GCA_905478165.1
GB_GCA_905478245.1
GB_GCA_020054685.1
GB_GCA_001767955.1
GB_GCA_903927415.1
GB_GCA_903849835.1
GB_GCA_016882165.1
GB_GCA_002342325.1
GB_GCA_903872175.1
GB_GCA_017999675.1
GB_GCA_903898475.1
GB_GCA_903879805.1
GB_GCA_018970485.1
GB_GCA_903870105.1
GB_GCA_903917585.1
GB_GCA_014190355.1
GB_GCA_903837365.1
GB_GCA_009927945.1
GB_GCA_903959715.1
GB_GCA_000746585.1
GB_GCA_003932735.1
GB_GCA_020049805.1
GB_GCA_002422795.1
GB_GCA_002787635.1
GB_GCA_016722515.1
GB_GCA_903821695.1
GB_GCA_010031735.1
GB_GCA_016124905.1
GB_GCA_004293935.1
GB_GCA_019749855.1
GB_GCA_002291925.1
GB_GCA_002291845.1
GB_GCA_002423155.1
GB_GCA_003241645.1
GB_GCA_017302575.1
GB_GCA_002422205.1
GB_GCA_020054645.1
GB_GCA_005792635.1
GB_GCA_020054105.1
GB_GCA_009926845.1
GB_GCA_020049775.1
GB_GCA_013216065.1
GB_GCA_009993885.1
GB_GCA_002337525.1
GB_GCA_013911655.1
GB_GCA_013822015.1
GB_GCA_002117145.1
GB_GCA_000743035.1
GB_GCA_905479605.1
GB_GCA_001767835.1
GB_GCA_019749915.1
GB_GCA_019748065.1
GB_GCA_018401675.1
GB_GCA_018242545.1
GB_GCA_002257235.1
GB_GCA_014896945.1
GB_GCA_001897475.1
GB_GCA_910588255.1
GB_GCA_002791835.1
GB_GCA_903874955.1
GB_GCA_018062345.1
GB_GCA_903905995.1
GB_GCA_019749935.1
GB_GCA_903899945.1
GB_GCA_903878455.1
GB_GCA_004210305.1
GB_GCA_903861255.1
GB_GCA_013823725.1
GB_GCA_000190415.1
